板块	子类		标的	代码
半导体设计	EDA/工具	881121.TI	华大九天	301269.SZ
半导体设计	EDA/工具	881121.TI	概伦电子	688206.SH
半导体设计	EDA/工具	881121.TI	广立微	301095.SZ
半导体设计	IP/设计服务	881121.TI	芯原股份	688521.SH
半导体设计	IP/设计服务	881121.TI	灿芯股份	688691.SH
半导体设计	数字/AI芯片	881121.TI	海光信息	688041.SH
半导体设计	数字/AI芯片	881121.TI	寒武纪	688256.SH
半导体设计	数字/AI芯片	881121.TI	龙芯中科	688047.SH
半导体设计	数字/AI芯片	881121.TI	国芯科技	688262.SH
半导体设计	数字/AI芯片	881121.TI	紫光国微	002049.SZ
半导体设计	数字/AI芯片	881121.TI	复旦微电	688385.SH
半导体设计	数字/AI芯片	881121.TI	国民技术	300077.SZ
半导体设计	存储芯片设计	881121.TI	兆易创新	603986.SH
半导体设计	存储芯片设计	881121.TI	北京君正	300223.SZ
半导体设计	存储芯片设计	881121.TI	普冉股份	688766.SH
半导体设计	存储芯片设计	881121.TI	东芯股份	688110.SH
半导体设计	存储芯片设计	881121.TI	恒烁股份	688416.SH
半导体设计	存储芯片设计	881121.TI	聚辰股份	688123.SH
半导体设计	存储芯片设计	881121.TI	澜起科技	688008.SH
半导体设计	模拟芯片	881121.TI	上海贝岭	600171.SH
半导体设计	模拟芯片	881121.TI	圣邦股份	300661.SZ
半导体设计	模拟芯片	881121.TI	卓胜微	300782.SZ
半导体设计	模拟芯片	881121.TI	富满微	300671.SZ
半导体设计	模拟芯片	881121.TI	思瑞浦	688536.SH
半导体设计	模拟芯片	881121.TI	芯朋微	688508.SH
半导体设计	模拟芯片	881121.TI	力芯微	688601.SH
半导体设计	模拟芯片	881121.TI	晶丰明源	688368.SH
半导体设计	MCU/SoC	881121.TI	瑞芯微	603893.SH
半导体设计	MCU/SoC	881121.TI	全志科技	300458.SZ
半导体设计	MCU/SoC	881121.TI	中颖电子	300327.SZ
半导体设计	MCU/SoC	881121.TI	晶晨股份	688099.SH
半导体设计	MCU/SoC	881121.TI	乐鑫科技	688018.SH
半导体设计	MCU/SoC	881121.TI	博通集成	603068.SH
半导体设计	射频通信	881121.TI	唯捷创芯	688153.SH
半导体设计	射频通信	881121.TI	翱捷科技-U	688220.SH
半导体设计	射频通信	881121.TI	裕太微-U	688515.SH
半导体设计	分立/IDM		华微电子	600360.SH
半导体设计	分立/IDM		扬杰科技	300373.SZ
半导体设计	分立/IDM		捷捷微电	300623.SZ
半导体设计	分立/IDM		三安光电	600703.SH
半导体设计	分立/IDM		士兰微	600460.SH
半导体设计	分立/IDM		XD华润微	688396.SH
半导体制造	石英材料	881121.TI	石英股份	603688.SH
半导体制造	硅片/衬底		沪硅产业	688126.SH
半导体制造	硅片/衬底		TCL中环	002129.SZ
半导体制造	硅片/衬底		立昂微	605358.SH
半导体制造	硅片/衬底		神工股份	688233.SH
半导体制造	硅片/衬底		有研硅	688432.SH
半导体制造	第三代半衬底		三安光电	600703.SH
半导体制造	第三代半衬底		天岳先进	688234.SH
半导体制造	光掩膜版		清溢光电	688138.SH
半导体制造	光掩膜版		路维光电	688401.SH
半导体制造	空白掩膜版（新增）		聚和材料	688503.SH
半导体制造	光刻胶		南大光电	300346.SZ
半导体制造	光刻胶		鼎龙股份	300054.SZ
半导体制造	光刻胶		彤程新材	603650.SH
半导体制造	光刻胶		容大感光	300576.SZ
半导体制造	光刻胶		上海新阳	300236.SZ
半导体制造	光刻胶		晶瑞电材	300655.SZ
半导体制造	光刻胶上游		圣泉集团	605589.SH
半导体制造	光刻胶上游		强力新材	300429.SZ
半导体制造	光刻胶上游		百川股份	002455.SZ
半导体制造	光刻胶上游		怡达股份	300721.SZ
半导体制造	光刻胶上游		八亿时空	688181.SH
半导体制造	光刻胶上游		万润股份	002643.SZ
半导体制造	光刻胶上游		瑞联新材	688550.SH
半导体制造	电子特气		金宏气体	688106.SH
半导体制造	电子特气		昊华科技	600378.SH
半导体制造	电子特气		华特气体	688268.SH
半导体制造	电子特气		凯美特气	002549.SZ
半导体制造	电子特气		中船特气	688146.SH
半导体制造	湿电子化学品		格林达	603931.SH
半导体制造	湿电子化学品		江化微	603078.SH
半导体制造	湿电子化学品		安集科技	688019.SH
半导体制造	湿电子化学品		中巨芯-U	688549.SH
半导体制造	靶材		江丰电子	300666.SZ
半导体制造	靶材		有研新材	600206.SH
半导体制造	靶材		隆华科技	300263.SZ
半导体制造	靶材		欧莱新材	688530.SH
半导体制造	前驱体		雅克科技	002409.SZ
半导体制造	拉晶设备	881121.TI	晶盛机电	300316.SZ
半导体制造	切割/研磨设备	881121.TI	宇晶股份	002943.SZ
半导体制造	涂胶显影设备	881121.TI	芯源微	688037.SH
半导体制造	光刻光学		茂莱光学	688502.SH
半导体制造	刻蚀设备	881121.TI	中微公司	688012.SH
半导体制造	刻蚀设备	881121.TI	北方华创	002371.SZ
半导体制造	刻蚀设备	881121.TI	屹唐股份	688729.SH
半导体制造	薄膜沉积设备	881121.TI	拓荆科技	688072.SH
半导体制造	薄膜沉积设备	881121.TI	微导纳米	688147.SH
半导体制造	离子注入设备	881121.TI	先导基电	600641.SH
半导体制造	CMP设备	881121.TI	华海清科	688120.SH
半导体制造	清洗设备	881121.TI	盛美上海	688082.SH
半导体制造	湿法/配套设备	881121.TI	至纯科技	603690.SH
半导体制造	晶圆检测设备	881121.TI	精测电子	300567.SZ
半导体制造	晶圆检测设备	881121.TI	中科飞测	688361.SH
半导体制造	晶圆检测设备	881121.TI	赛腾股份	603283.SH
半导体制造	零部件		富创精密	688409.SH
半导体制造	零部件		珂玛科技	301611.SZ
半导体制造	晶圆制造	881121.TI	中芯国际	688981.SH
半导体制造	晶圆制造	881121.TI	华虹宏力	688347.SH
半导体制造	晶圆制造	881121.TI	燕东微	688172.SH
半导体制造	晶圆制造	881121.TI	晶合集成	688249.SH
半导体制造	晶圆制造	881121.TI	芯联集成-U	688469.SH
半导体制造	功率器件		新洁能	605111.SH
半导体制造	功率器件		东微半导	688261.SH
先进封装	OSAT		长电科技	600584.SH
先进封装	OSAT		通富微电	002156.SZ
先进封装	OSAT		华天科技	002185.SZ
先进封装	OSAT		甬矽电子	688362.SH
先进封装	OSAT		晶方科技	603005.SH
先进封装	OSAT		深科技	000021.SZ
先进封装	OSAT		太极实业	600667.SH
先进封装	OSAT		环旭电子	601231.SH
先进封装	OSAT		气派科技	688216.SH
先进封装	OSAT		蓝箭电子	301348.SZ
先进封装	OSAT		汇成股份	688403.SH
先进封装	OSAT		质中科技	688352.SH
先进封装	封装材料	881121.TI	深南电路	002916.SZ
先进封装	封装材料	881121.TI	兴森科技	002436.SZ
先进封装	封装材料	881121.TI	华海诚科	688535.SH
先进封装	封装材料	881121.TI	德邦科技	688035.SH
先进封装	封装材料	881121.TI	康强电子	002119.SZ
先进封装	封装材料	881121.TI	中瓷电子	003031.SZ
先进封装	封装材料	881121.TI	三环集团	300408.SZ
先进封装	封装材料	881121.TI	上海新阳	300236.SZ
先进封装	封装材料	881121.TI	艾森股份	688720.SH
先进封装	封装材料	881121.TI	天承科技	688603.SH
先进封装	封装材料	881121.TI	新亚电子	605277.SH
先进封装	封装材料	881121.TI	飞凯材料	300398.SZ
先进封装	半导体玻璃（新增）	881121.TI	戈碧迦（北交所）	835438.BJ
先进封装	封装设备	881121.TI	大族激光	002008.SZ
先进封装	封装设备	881121.TI	德龙激光	688170.SH
先进封装	封装设备	881121.TI	新益昌	688383.SH
先进封装	封装设备	881121.TI	凯格精机	301338.SZ
先进封装	封装设备	881121.TI	快克智能	603203.SH
先进封装	封装设备	881121.TI	耐科装备	688419.SH
先进封装	封装设备	881121.TI	三佳科技	600520.SH
先进封装	测试设备	881121.TI	长川科技	300604.SZ
先进封装	测试设备	881121.TI	华峰测控	688200.SH
先进封装	测试设备	881121.TI	金海通	603061.SH
先进封装	测试设备	881121.TI	和林微纳	688661.SH
先进封装	测试设备	881121.TI	华兴源创	688001.SH
先进封装	测试设备	881121.TI	强瑞技术	301128.SZ
先进封装	测试设备	881121.TI	光力科技	300480.SZ
存储芯片	主控芯片	881121.TI	联芸科技	688449.SH
存储芯片	主控芯片	881121.TI	国科微	300672.SZ
存储芯片	芯片设计	881121.TI	兆易创新	603986.SH
存储芯片	芯片设计	881121.TI	北京君正	300223.SZ
存储芯片	芯片设计	881121.TI	普冉股份	688766.SH
存储芯片	芯片设计	881121.TI	东芯股份	688110.SH
存储芯片	芯片设计	881121.TI	恒烁股份	688416.SH
